,,T-Statistic,P-Value
pct_fga_fg2a,5,1.362693104838784,0.18249299571387104
pct_fga_00_03,1,3.491482466419187,0.0008911776685208284
pct_fga_00_03,2,3.5986182477874613,0.0006239464924314542
pct_fga_00_03,3,2.5113196890396563,0.015447525889747436
pct_fga_00_03,4,1.3307351755241166,0.19081260426412003
pct_fga_00_03,5,0.6877669187379418,0.49655494878195217
pct_fga_03_10,1,1.9992028940714894,0.04997429781100822
pct_fga_03_10,2,0.1046080795272651,0.9170139510788602
pct_fga_03_10,3,0.8438521544496969,0.4029380129047262
pct_fga_03_10,4,0.5198818875264467,0.6060113030171907
pct_fga_03_10,5,0.7227712682389194,0.47507017764938586
pct_fga_10_16,1,-1.4265382198669923,0.15872949144485518
pct_fga_10_16,2,-2.0553212661748823,0.04393355070744742
pct_fga_10_16,3,-0.5789151400952413,0.5653533278531939
pct_fga_10_16,4,0.3887534104343405,0.699520272046702
pct_fga_10_16,5,-0.2340105054798051,0.8164675407269937
pct_fga_16_xx,1,-0.8425378586283866,0.40272548056481305
pct_fga_16_xx,2,0.727641229568903,0.46948691520087116
pct_fga_16_xx,3,-1.2018015534658102,0.23533636089610876
pct_fga_16_xx,4,0.03993337121487233,0.9683449006351516
pct_fga_16_xx,5,0.3749065931800051,0.7102032823679667
pct_fga_fg3a,1,-4.065230300719841,0.00013757613967430856
pct_fga_fg3a,2,-3.02415605744719,0.0035856696901503927
pct_fga_fg3a,3,-1.7992987997269925,0.07825939982991029
pct_fga_fg3a,4,-1.7073279761113105,0.09551331021101288
pct_fga_fg3a,5,-1.362693104838784,0.18249299571387104
fg_pct_fg2a,1,0.8156598361596773,0.41781729739248274
fg_pct_fg2a,2,0.5426735207251815,0.589239487073931
fg_pct_fg2a,3,-0.812699939513468,0.4204027969652415
fg_pct_fg2a,4,-1.4177166961809853,0.16401687447089405
fg_pct_fg2a,5,-1.218198567067495,0.23205439183965548
fg_pct_00_03,1,1.8142692531934388,0.0744751941330683
fg_pct_00_03,2,0.10907862366022873,0.9134814171709368
fg_pct_00_03,3,-1.125219101357627,0.26609128526247744
fg_pct_00_03,4,-1.1437660770068279,0.2595195898879305
