cluster,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_48,obpm,dbpm,bpm,vorp,season,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct_x,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,age,g,mp_y,avg_dist,pct_fga_fg2a,pct_fga_00_03,pct_fga_03_10,pct_fga_10_16,pct_fga_16_xx,pct_fga_fg3a,fg_pct_fg2a,fg_pct_00_03,fg_pct_03_10,fg_pct_10_16,fg_pct_16_xx,fg_pct_fg3a,pct_ast_fg2,pct_ast_fg3,pct_fga_dunk,fg_dunk,pct_fg3a_corner3,fg_pct_corner3,fg3a_heave,fg3_heave
10,13.047032374100718,0.559748201438849,0.47641007194244606,0.20581294964028776,3.5841726618705034,13.535521582733812,8.580305755395683,11.058093525179856,1.7047661870503596,1.326888489208633,11.37248201438849,16.524280575539567,1.9527877697841727,1.8646582733812949,3.8191546762589925,0.10353956834532374,-0.2609712230215827,0.44226618705035975,0.18165467625899281,0.9666366906474821,2013.8228417266187,35.7113309352518,25.400449640287768,3.356294964028777,7.626708633093525,0.4403120503597122,1.3703237410071942,3.6284172661870504,0.3743345323741007,1.985611510791367,3.997482014388489,0.49850765076507647,0.5299613309352518,1.20863309352518,1.5433453237410073,0.7808543165467625,0.7902877697841726,3.054406474820144,3.843255395683453,1.8808453237410072,0.8491906474820143,0.3966726618705036,1.0557553956834533,2.0616007194244603,9.293165467625899,27.554856115107913,69.94064748201438,1785.013489208633,16.156654676258995,0.5235926258992806,0.22115647482014386,0.10434442446043166,0.06756744604316547,0.13041456834532375,0.47641007194244606,0.49850765076507647,0.6361927927927927,0.37418091809180914,0.37000090252707585,0.37716998191681733,0.3743345323741007,0.6054176417641765,0.9344221422142215,0.03647841726618705,16.46312949640288,0.32050359712230214,0.4043911870503597,1.0692446043165467,0.03327338129496403
11,10.007048458149779,0.5374416299559471,0.6175616740088106,0.147886563876652,2.6516519823788545,11.830616740088107,7.252643171806167,8.646035242290749,1.3008810572687226,0.962885462555066,10.230176211453745,15.495264317180618,0.3830396475770925,0.5371145374449339,0.920704845814978,0.06541740088105727,-1.6388766519823788,-0.38259911894273124,-2.020484581497797,0.015418502202643172,2015.988986784141,6.224669603524229,14.321696035242292,1.6856828193832598,4.181277533039648,0.40427312775330393,0.9251101321585903,2.562995594713656,0.36312004405286347,0.7613436123348017,1.6204845814977975,0.4721977653631285,0.5166916299559472,0.46784140969162996,0.6030837004405286,0.7668333333333334,0.3327092511013216,1.513546255506608,1.8438325991189428,0.8450440528634361,0.3761013215859031,0.16674008810572688,0.5016519823788547,1.2378854625550662,4.760022026431718,27.31057268722467,42.65748898678414,664.2852422907489,19.025991189427312,0.38244493392070483,0.13654295154185023,0.0758942731277533,0.05480616740088106,0.11509361233480175,0.6175616740088106,0.4721977653631285,0.6293348837209302,0.3518757396449704,0.357542413381123,0.3891430260047281,0.36312004405286347,0.6492272215973004,0.9367907488986784,0.017595814977973568,3.05726872246696,0.3131376651982379,0.3988512304250559,0.43061674008810574,0.007709251101321586
12,10.756589861751152,0.4919364055299539,0.37614746543778804,0.21327465437788018,2.1521658986175116,9.652903225806451,5.889216589861752,20.23447004608295,1.776036866359447,0.59963133640553,15.56930875576037,18.918709677419354,0.10728110599078342,0.5083870967741936,0.6175115207373272,0.03724976958525345,-2.1734562211981565,-0.5328110599078342,-2.705345622119816,-0.09170506912442396,2012.6912442396313,6.072811059907834,15.56857142857143,1.9923502304147465,5.046451612903225,0.39400092165898615,0.632258064516129,1.9012903225806452,0.3320774907749077,1.3611981566820277,3.146820276497696,0.42985332103321033,0.4563308755760369,0.8079262672811061,1.0408294930875575,0.7752999062792877,0.29861751152073734,1.3350230414746544,1.6290322580645162,2.049953917050691,0.5346543778801843,0.11336405529953918,0.9920737327188941,1.3133640552995391,5.42073732718894,26.491244239631335,43.694930875576034,719.6562211981567,15.459539170506911,0.6238571428571429,0.2090414746543779,0.13378525345622122,0.09727649769585253,0.18361935483870967,0.37614746543778804,0.42985332103321033,0.5468591417910448,0.3487593632958802,0.37101136363636367,0.36389971883786315,0.3320774907749077,0.3472303422756707,0.7726583333333333,0.010411059907834102,2.0119815668202765,0.20754335793357934,0.3639137931034483,0.9917050691244239,0.022119815668202765
13,14.303190319031904,0.5424455445544555,0.40028932893289326,0.23274807480748075,2.595049504950495,11.650935093509352,7.094389438943894,16.235643564356437,1.4508250825082507,0.8737073707370737,11.493949394939493,22.316391639163914,1.6046204620462046,1.2467546754675467,2.8513751375137515,0.07594939493949394,0.2623762376237624,-0.8798679867986798,-0.6173817381738175,0.6311331133113312,2015.6743674367438,39.12981298129813,29.05005500550055,5.088228822882288,11.8002200220022,0.43104620462046206,1.7210121012101212,4.713091309130913,0.36367656765676565,3.368866886688669,7.087678767876787,0.4757634763476348,0.5041507150715072,2.205060506050605,2.723762376237624,0.8054977973568282,0.6805280528052805,3.015731573157316,3.6933993399339937,2.932343234323432,0.838943894389439,0.30649064906490653,1.6796479647964797,2.093839383938394,14.099449944994499,26.264026402640265,61.47964796479648,1792.9295929592959,15.488338833883388,0.5997117711771177,0.20664466446644664,0.1397018701870187,0.10175687568756876,0.1514191419141914,0.40028932893289326,0.4757634763476348,0.6154290429042903,0.38700990099009897,0.3951546961325967,0.3911433296582139,0.36367656765676565,0.43651925192519253,0.82565859030837,0.022391639163916392,14.652365236523652,0.21525412541254124,0.3918011049723757,1.737073707370737,0.0407040704070407
14,12.385180412371133,0.5576929032258064,0.2855974193548387,0.2922051612903226,6.486469072164948,15.967654639175258,11.225515463917526,8.795360824742268,1.524355670103093,2.0445876288659792,13.638451612903225,16.234149484536083,0.2891752577319588,0.46249999999999997,0.755541237113402,0.08189690721649484,-2.3094072164948454,0.10734536082474226,-2.2027061855670103,0.0009020618556701027,2018.006443298969,4.869845360824742,12.040592783505154,1.6329896907216495,3.4318298969072165,0.4915832258064516,0.31559278350515463,1.0588917525773196,0.27818679775280897,1.3195876288659794,2.3716494845360825,0.5738283870967742,0.5326554838709677,0.645618556701031,0.9322164948453608,0.6732727272727272,0.6945876288659794,1.7322164948453609,2.4277061855670103,0.7462628865979382,0.3805412371134021,0.29329896907216496,0.5842783505154638,1.3029639175257732,4.220876288659794,24.632731958762886,32.41881443298969,451.4871134020619,10.798967741935485,0.7144116129032257,0.3956541935483871,0.18639096774193548,0.06416516129032258,0.06808129032258065,0.2855974193548387,0.5738283870967742,0.7004289473684211,0.395804979253112,0.35543100775193803,0.34356065573770495,0.27818679775280897,0.6345587096774193,0.9583470031545741,0.09926967741935483,11.27319587628866,0.341310393258427,0.30265940902021776,0.31443298969072164,0.001288659793814433
