Date,Team,Notes,Status,Player
2009-04-21,Celtics,torn ACL and meniscus in left knee (out for season),Relinquished,Leon Powe
2009-04-23,Celtics,placed on IL with torn ACL and meniscus in left knee (out for season),Relinquished,Leon Powe
2009-11-17,Clippers,torn ACL in right knee (out indefinitely),Relinquished,Kareem Rush
2009-12-09,Clippers,surgery on right knee to repair torn ACL (out for season),Relinquished,Kareem Rush
2010-01-10,Bucks,torn ACL and MCL in left knee (out for season),Relinquished,Michael Redd
2010-01-11,Bucks,placed on IL with torn ACL and MCL in left knee (out for season),Relinquished,Michael Redd
2010-02-23,Wizards,torn ACL in left knee (out for season),Relinquished,Josh Howard
2010-02-26,Wizards,placed on IL with torn ACL in left knee (out for season),Relinquished,Josh Howard
2010-03-16,Wizards,surgery on left knee to repair torn ACL (out for season),Relinquished,Josh Howard
2010-07-12,Celtics,surgery on right knee to repair torn ACL (out indefinitely),Relinquished,Kendrick Perkins
2010-10-08,Blazers,torn ACL in right knee (out indefinitely),Relinquished,Jeff Pendergraph / Jeff Ayres
2010-10-26,Celtics,placed on IL recovering from surgery on right knee to repair torn ACL,Relinquished,Kendrick Perkins
2010-10-27,Bucks,placed on IL recovering from surgery on left knee to repair torn ACL,Relinquished,Michael Redd
2010-10-28,Wizards,placed on IL with torn ACL in left knee,Relinquished,Josh Howard
2011-01-06,Suns,torn ACL and partially torn MCL in right knee (out for season),Relinquished,Gani Lawal
2011-01-09,Suns,placed on IL with torn ACL and partially torn MCL in right knee (out for season),Relinquished,Gani Lawal
2011-01-30,Suns,surgery on right knee to repair torn ACL and partially torn MCL (out for season),Relinquished,Gani Lawal
2011-03-25,Hornets,placed on IL with torn ACL in left knee (out for season),Relinquished,David West
2011-04-12,Hornets,surgery on left knee to repair torn ACL (out for season),Relinquished,David West
2011-07-17,Wizards,ACL injury in knee (out indefinitely),Relinquished,Othyus Jeffers
2012-01-08,Thunder,placed on IL with torn ACL in right knee (out for season),Relinquished,Eric Maynor
2012-01-18,Thunder,surgery on right knee to repair torn ACL (out for season),Relinquished,Eric Maynor
2012-03-09,Timberwolves,torn ACL in left knee (out for season),Relinquished,Ricky Rubio
2012-03-10,Timberwolves,placed on IL with torn ACL in left knee (out for season),Relinquished,Ricky Rubio
2012-03-21,Timberwolves,surgery on left knee to repair torn ACL,Relinquished,Ricky Rubio
2012-04-28,Bulls,torn ACL in left knee (out for season),Relinquished,Derrick Rose
2012-04-28,Knicks,torn lateral meniscus / ACL (CBC) in left knee (out for season),Relinquished,Iman Shumpert
