Date,Team,Acquired,Relinquished,Notes
2000-01-17,Mavericks,,Steve Nash,sprained right ankle (DNP)
2000-01-17,Rockets,,Carlos Rogers,strained right thumb (DNP)
2000-01-17,Timberwolves,,Terrell Brandon,strained right calf / Achilles tendon (DNP)
2000-01-17,Warriors,,Adonal Foyle,sprained right knee (DNP)
2000-01-17,Warriors,,Erick Dampier,recovering from left knee surgery (DNP)
2000-01-17,Wizards,,Mitch Richmond,placed on IR with fractured right rib
2000-01-17,Wizards,Laron Profit,,activated from IL
2000-01-18,Jazz,,Jeff Hornacek,sore back and knee (DTD)
2000-01-18,Pacers,,Al Harrington,sprained left ankle (DTD)
2000-01-19,Bucks,Darvin Ham,,activated from IL
2000-01-19,Jazz,,Jeff Hornacek,sore back and knee (DNP)
2000-01-19,Mavericks,,Steve Nash,sprained right ankle (DNP)
2000-01-19,Pacers,,Al Harrington,sprained left ankle (DNP)
2000-01-19,Timberwolves,,Terrell Brandon,strained left hamstring & right calf (DNP)
2000-01-19,Wizards,,Gerard King,placed on IR with left elbow tendinitis
2000-01-19,Wizards,,Richard Hamilton,death in family (DNP)
2000-01-19,Wizards,Lorenzo Williams,,activated from IL
2000-01-20,Jazz,,Jeff Hornacek,sore back and knee (DNP)
2000-01-20,Kings,,Chris Webber,strained neck (DNP)
2000-01-20,Rockets,,Carlos Rogers,surgery on right hand to repair torn ligament
2000-01-20,Rockets,,Carlos Rogers,sprained right thumb (DNP)
2000-01-21,Bulls,Hersey Hawkins,,activated from IL
2000-01-21,Cavaliers,,Zydrunas Ilgauskas,will undergo surgery to repair broken left foot (out for season)
2000-01-21,Celtics,,Calbert Cheaney,birth of child (DNP)
2000-01-21,Celtics,,Eric Williams,sore right knee (DNP)
Date,Team,Acquired,Relinquished,Notes
2000-01-21,Hawks,,Dion Glover,flu (DTD)
2000-01-21,Heat,,Rodney Buford,placed on IL with bilateral patella tendinitis
2000-01-21,Heat,Tim Hardaway Sr.,,activated from IL
2000-01-21,Lakers,,Tyronn Lue,surgery on right knee to remove bone fragments and tissue
2000-01-21,Nets,,Michael Cage,placed on IL with sprained toe
2000-01-21,Nets,,Sherman Douglas,surgery on left ankle (out 2 months)
2000-01-21,Nets,Gheorghe Muresan,,activated from IL
2000-01-21,Suns,,Oliver Miller,strained right triceps (DNP)
2000-01-21,Timberwolves,,Terrell Brandon,strained right calf (DNP)
